4,3,
108,1,
464,1,2,
78,1,2,3,
96,1,2,3,4,
183,1,2,4,
139,1,2,4,3,
27,1,3,
21,1,3,2,
40,1,3,2,4,
7,1,3,4,
15,1,3,4,2,
23,1,4,
21,1,4,2,
22,1,4,2,3,
5,1,4,3,
10,1,4,3,2,
10,2,
86,2,1,
22,2,1,3,
17,2,1,3,4,
19,2,1,4,
19,2,1,4,3,
2,2,3,
3,2,3,1,
4,2,3,1,4,
1,2,3,4,
1,2,3,4,1,
4,2,4,
2,2,4,1,
7,2,4,1,3,
633,3,
107,3,1,
94,3,1,2,
76,3,1,2,4,
31,3,1,4,
30,3,1,4,2,
18,3,2,
36,3,2,1,
38,3,2,1,4,
5,3,2,4,
7,3,2,4,1,
206,3,4,
48,3,4,1,
76,3,4,1,2,
12,3,4,2,
30,3,4,2,1,
457,4,
54,4,1,
90,4,1,2,
104,4,1,2,3,
17,4,1,3,
17,4,1,3,2,
4,4,2,
20,4,2,1,
27,4,2,1,3,
4,4,2,3,
8,4,2,3,1,
164,4,3,
36,4,3,1,
67,4,3,1,2,
11,4,3,2,
37,4,3,2,1,
"Candidate 1","Steven Jackson","Scottish National Party (SNP)",
"Candidate 2","Robbie Landsman","Scottish National Party (SNP)",
"Candidate 3","Malcolm Nicol","Conservative and Unionist Party (Con)",
"Candidate 4","Alan Nimmo","Labour (Lab)",
"Lower Braes",
