4,3,
111,1,
43,1,2,
13,1,2,3,
12,1,2,3,4,
95,1,2,4,
40,1,2,4,3,
10,1,3,
4,1,3,2,
4,1,3,2,4,
12,1,3,4,
11,1,3,4,2,
118,1,4,
101,1,4,2,
57,1,4,2,3,
33,1,4,3,
21,1,4,3,2,
44,2,
52,2,1,
7,2,1,3,
8,2,1,3,4,
58,2,1,4,
32,2,1,4,3,
5,2,3,
1,2,3,1,
3,2,3,1,4,
3,2,3,4,
2,2,3,4,1,
33,2,4,
48,2,4,1,
23,2,4,1,3,
15,2,4,3,
3,2,4,3,1,
9,3,
9,3,1,
3,3,1,2,
2,3,1,2,4,
4,3,1,4,
4,3,1,4,2,
2,3,2,
3,3,2,1,4,
4,3,2,4,
3,3,2,4,1,
8,3,4,
4,3,4,1,
8,3,4,1,2,
2,3,4,2,
3,3,4,2,1,
57,4,
56,4,1,
60,4,1,2,
38,4,1,2,3,
26,4,1,3,
12,4,1,3,2,
47,4,2,
46,4,2,1,
16,4,2,1,3,
11,4,2,3,
9,4,2,3,1,
14,4,3,
14,4,3,1,
7,4,3,1,2,
1,4,3,2,
4,4,3,2,1,
"Candidate 1","Allison Duncan","Independent (Ind)",
"Candidate 2","Billy Fox","Independent (Ind)",
"Candidate 3","Andrew Shearer","Scottish Christian (SC)",
"Candidate 4","George Smith","Independent (Ind)",
"Shetland South",
