Candidate,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8
Claire Brown,1202.0,1214.4564,1219.4564,1224.4564,1225.95201,1233.53325,1259.07795,1406.6794399999999
Ian Kennedy,89.0,98.34230000000004,114.04090000000004,0.0,0.0,0.0,0.0,0.0
Rachel Kidd,308.0,516.9277999999993,520.7770999999996,535.3249999999998,536.81231,586.76217,644.66203,740.41195
John Mcluckie,459.0,489.5747999999998,499.2733999999998,548.8029999999999,550.0466999999999,568.1725799999999,603.26431,0.0
Siobhan Paterson,1272.0,1365.4229999999995,1370.5553999999997,1384.1215999999995,1375.0,1375.0,1375.0,1375.0
Austin Reid,139.0,161.64800000000002,161.64800000000002,168.2142,170.21846,177.22736999999998,0.0,0.0
Jim Robertson,1918.0,1375.0,1375.0,1375.0,1375.0,1375.0,1375.0,1375.0
Colin Todd,63.0,110.5608,114.12700000000002,118.12700000000002,118.39469000000001,0.0,0.0,0.0
Mark Andrew Tunnicliff,49.0,55.228199999999994,0.0,0.0,0.0,0.0,0.0,0.0
