Candidate,Round 1,Round 2,Round 3,Round 4,Round 5
Nestor Carlsen-Devereux,373.0,383.0931999999999,388.0932,395.0932,400.51374999999996
Donna Clark,1586.0,919.0,919.0,919.0,919.0
Sam Forman,151.0,167.822,173.08365,177.5042,199.92475000000002
Gordon Graham,829.0,891.6619500000005,901.5030500000004,917.7647000000003,932.1852500000002
Lucas Smith Grant,38.0,42.205499999999994,0.0,0.0,0.0
Graeme Stephen Lawrence,136.0,145.2521,148.2521,153.2521,156.67264999999998
David Maitland,91.0,103.19595000000004,109.03705000000002,0.0,0.0
Louise Mccafferty,100.0,114.29870000000001,118.29870000000001,122.56035000000001,0.0
Ciaran Mcrae,370.0,857.8379999999997,860.09965,908.0900999999996,964.7066
