Candidate,Round 1
Kirsteen Allan,269.0
Tony Buchanan,1551.0
Charlie Gilbert,1729.0
David Jesner,178.0
Robert Malyn,13.0
Andrew Morrison,616.0
Paul O'Kane,1531.0
Roy Provan,138.0
Stuart Sutherland,30.0
