Candidate,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9
Pol Stanley Clementsmith,232.0,237.20520000000002,247.9488,249.9488,0.0,0.0,0.0,0.0,0.0
Kevin Malcolm Cordell,1608.0,1616.9232,1618.9232,1622.9232,1684.9232,1809.7822,1809.7822,1796.0,1796.0
Craig Duncan,1422.0,1498.5907999999997,1502.5908,1509.3343999999997,1557.4497999999999,1967.7703999999999,1796.0,1796.0,1796.0
Paul Johnson,43.0,44.859,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Angela Lyall,1054.0,1079.2824,1093.2824,1097.2824,1139.6542,0.0,0.0,0.0,0.0
Vari Mcdonald,1075.0,1079.4615999999999,1084.4615999999999,1085.4615999999999,1139.8334,1230.577,1260.75468,1272.84873,0.0
Derek Scott,2859.0,1796.0,1796.0,1796.0,1796.0,1796.0,1796.0,1796.0,1796.0
Philip Scott,635.0,1532.8970000000013,1534.6406000000006,1556.4996000000006,1566.3586000000003,1679.9998,1732.59708,1732.70343,2013.6502
Calum David Alexander Walker,47.0,50.718,52.718,0.0,0.0,0.0,0.0,0.0,0.0
