Candidate,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9
Bill Boyd,1092.0,1092.0,876.0,876.0,876.0,876.0,876.0,876.0,876.0
Ryan Forbes,327.0,378.33698000000004,383.08418000000006,384.89052000000004,390.34610000000004,403.49634000000003,454.10143999999997,538.63496,0.0
Iain Forsyth,46.0,55.67608,96.02728000000003,97.29606000000001,0.0,0.0,0.0,0.0,0.0
Shaun Alexander Fraser,295.0,361.1198800000001,389.2074800000001,389.40528000000006,401.9332600000001,409.6252,453.84026000000006,0.0,0.0
Alex Graham,1198.0,876.0,876.0,876.0,876.0,876.0,876.0,876.0,876.0
Ryan Mackintosh,262.0,299.36042000000003,381.6452200000001,385.3096000000001,415.96692000000013,448.08416000000005,483.28894,597.26718,690.4141
Duncan Mcdonald,173.0,226.75600000000009,235.6570000000001,236.92578000000006,247.84108000000006,286.2808,0.0,0.0,0.0
David Sansum,10.0,15.106819999999999,17.08482,0.0,0.0,0.0,0.0,0.0,0.0
Helen Smith,100.0,120.96484000000001,126.89884000000002,130.51152000000002,137.48952000000003,0.0,0.0,0.0,0.0
