Candidate,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8
Annemarie Baillie,61.0,64.70153,66.29669000000001,68.78565000000002,0.0,0.0,0.0,0.0
Andrew Brough,736.0,799.4548,865.9197999999997,918.0211399999996,938.3531699999997,958.23937,1187.20251,0.0
Stewart Geddes,148.0,152.75911000000002,154.84168000000003,162.30856000000003,173.93561,0.0,0.0,0.0
Fred Hessler,688.0,742.46537,759.6133399999997,803.3701399999998,816.0761699999998,837.11493,0.0,0.0
James Hill,1040.0,1161.6216999999997,1163.8372,1243.8496199999997,1244.8939299999997,1289.90357,1355.06099,1415.66953
Kevin Lang,5904.0,2782.0,2782.0,2782.0,2782.0,2782.0,2782.0,2782.0
Norrie Work,2911.0,2911.0,2782.0,2782.0,2782.0,2782.0,2782.0,2782.0
Louise Young,2221.0,4937.394230000001,4937.394230000001,2782.0,2782.0,2782.0,2782.0,2782.0
Lewis James Younie,200.0,313.16106,323.92839,2218.2673499999987,2223.302129999999,2251.05682,2435.02188,2870.28635
