Candidate,Round 1,Round 2
Gerry Boyle,1378.0,1378.0
Maureen Burke,1958.0,1343.0
Stuart Duncan Clay,118.0,140.61448
Jamie Cocozza,48.0,57.73679
Tony Kenny,612.0,646.5499
Gerry Leonard,1345.0,1345.0
John Cluny Macpherson,76.0,85.4227
Kim Schmulian,210.0,214.71134999999998
Sohan Singh,966.0,1410.7514399999998
