Candidate,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9
Eddie Devine,800.0,805.0,836.0,857.0,1093.0,1021.0,1021.0,1021.0,1021.0
Allan Heron,154.0,157.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
David Richard Laffan,194.0,208.0,227.0,0.0,0.0,0.0,0.0,0.0,0.0
Bruce Macfarlane,862.0,862.0,871.0,938.0,959.0,967.9583200000001,1036.6170200000001,1021.0,1021.0
Paul Mack,452.0,459.0,470.0,491.0,526.0,533.83853,0.0,0.0,0.0
Stuart Alexander Mcausland,385.0,389.0,415.0,429.0,0.0,0.0,0.0,0.0,0.0
Marie Mcgurk,693.0,700.0,705.0,777.0,799.0,805.2576500000001,875.8504800000001,888.21072,956.10436
Jim Mcilroy,496.0,498.0,527.0,531.0,576.0,587.06616,702.31769,702.44015,0.0
Sandra Amelia Webster,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
