Candidate,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9
Savio Andrew D'Souza,456.0,460.0,470.0,507.0,0.0,0.0,0.0,0.0,0.0
Paul Drury,859.0,862.0,876.0,913.0,1085.0,1108.04288,1149.0886,1309.15597,0.0
Alan Findlay,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jim Fletcher,1431.0,1435.0,1438.0,1506.0,1615.0,1649.7472,1715.0672399999999,1837.7400499999999,2224.41609
Gordon Mccaskill,48.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Colm Merrick,1853.0,1855.0,1860.0,1898.0,1990.0,1899.0,1899.0,1899.0,1899.0
Christopher Park,266.0,274.0,278.0,0.0,0.0,0.0,0.0,0.0,0.0
Paul Smith,899.0,904.0,905.0,943.0,976.0,978.5603199999999,0.0,0.0,0.0
Gordon Wallace,1751.0,1753.0,1758.0,1784.0,1825.0,1826.46304,2620.5146000000004,1899.0,1899.0
