Candidate,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9,Round 10,Round 11,Round 12,Round 13
James Adams,1727.0,1385.0,1385.0,1385.0,1385.0,1385.0,1385.0,1385.0,1385.0,1385.0,1385.0,1385.0,1385.0
Finlay Archibald,51.0,53.57439,53.779830000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jesper Bach,229.0,236.9211999999999,238.30791999999985,261.1000399999998,280.3494299999999,307.0462399999999,315.44229999999993,0.0,0.0,0.0,0.0,0.0,0.0
Shaukat Butt,398.0,407.50543999999996,408.12175999999994,409.12175999999994,415.17311999999987,416.17312,426.56917999999996,445.41266,468.4126600000001,514.7134099999998,0.0,0.0,0.0
Stephen Dornan,603.0,625.5754200000001,627.37302,631.37302,639.57105,642.5710499999999,649.7690799999999,679.40468,713.61012,721.61012,885.62208,1069.05721,1156.25695
Joyce Drummond,60.0,61.58424,62.1492,65.14920000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
John Flanagan,644.0,660.23846,661.3683799999999,667.7644399999999,671.1605,677.3585299999999,687.6079199999999,716.0553399999999,741.1066999999999,742.1067,753.4588099999999,0.0,0.0
Alan Hughes,143.0,148.14878000000002,148.40558000000004,154.40558,154.40558,156.40558000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Allison Hunter,1460.0,1460.0,1385.0,1385.0,1385.0,1385.0,1385.0,1385.0,1385.0,1385.0,1385.0,1385.0,1385.0
Jonathan Mackie,443.0,451.51529,512.3768899999997,517.4796099999999,521.7364099999999,532.0371599999999,538.13988,600.7024,625.1058700000001,878.5395799999999,931.3904699999999,993.24877,0.0
Tahir Mohammed,356.0,358.77242000000007,362.57306,362.57306000000005,366.57306000000005,369.62442000000004,369.62442,385.07184,392.07184000000007,0.0,0.0,0.0,0.0
Harriet Murdoch,219.0,222.36651000000003,222.98282999999992,222.98282999999992,223.98282999999992,242.28357999999994,322.92903,339.42781,0.0,0.0,0.0,0.0,0.0
Fariha Thomas,504.0,727.9719299999999,728.89641,730.4905,734.88656,740.4806500000001,747.05504,787.9301799999998,825.7638099999999,872.5609,994.53135,1175.15921,1260.59057
Chris Young,87.0,90.76257000000001,91.32753000000001,92.37889,92.43025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
