9,3,
27,1,
2,1,2,
3,1,2,3,
1,1,2,4,3,6,5,7,9,8,
4,1,2,5,
1,1,2,5,7,
1,1,2,6,7,5,
1,1,2,6,7,9,4,
1,1,2,6,9,
9,1,2,7,
1,1,2,7,5,8,3,4,9,6,
2,1,2,7,9,
2,1,2,8,
1,1,2,9,
1,1,2,9,7,3,4,8,
3,1,3,
1,1,3,2,
1,1,3,5,
2,1,3,6,
1,1,3,6,8,9,
2,1,3,7,
1,1,3,7,9,
3,1,3,8,
1,1,3,8,2,7,5,
1,1,3,8,4,
1,1,3,8,9,
1,1,3,9,
1,1,3,9,7,2,
3,1,4,
1,1,4,5,9,
3,1,4,6,
1,1,4,6,5,
1,1,4,6,7,2,
1,1,4,6,9,5,
1,1,4,7,
1,1,4,7,9,
2,1,4,8,
3,1,4,9,
1,1,4,9,2,
1,1,4,9,3,
2,1,4,9,6,
1,1,4,9,6,5,7,2,8,3,
1,1,4,9,7,2,3,8,6,5,
10,1,5,
2,1,5,2,
1,1,5,2,6,7,
1,1,5,2,9,
1,1,5,3,2,
1,1,5,3,8,
1,1,5,3,8,2,7,6,9,4,
1,1,5,4,
1,1,5,4,9,2,8,7,3,6,
1,1,5,6,
1,1,5,6,4,2,3,7,8,9,
1,1,5,6,9,7,2,4,
2,1,5,7,
2,1,5,8,
1,1,5,8,9,
3,1,5,9,
1,1,5,9,7,6,2,
7,1,6,
1,1,6,2,
1,1,6,2,7,5,
2,1,6,3,
1,1,6,3,4,
2,1,6,4,
2,1,6,5,
1,1,6,5,3,8,
1,1,6,5,4,
1,1,6,5,9,7,2,4,
1,1,6,8,4,
6,1,6,9,
1,1,6,9,2,
2,1,6,9,4,
1,1,6,9,5,
1,1,7,
1,1,7,2,
1,1,7,9,
1,1,7,9,3,
1,1,7,9,8,
1,1,8,
1,1,8,3,6,9,
1,1,8,3,7,
1,1,8,4,
1,1,8,5,
1,1,8,9,
14,1,9,
2,1,9,2,
1,1,9,2,7,3,8,
1,1,9,3,
10,1,9,4,
1,1,9,4,5,6,3,8,2,7,
1,1,9,4,6,
4,1,9,5,
1,1,9,5,8,
4,1,9,6,
1,1,9,6,4,
1,1,9,6,5,4,
1,1,9,8,6,
95,2,
2,2,1,
1,2,1,3,
1,2,1,3,4,5,6,7,8,9,
1,2,1,3,5,4,6,7,8,9,
1,2,1,3,5,7,6,4,9,8,
2,2,1,4,
1,2,1,4,3,6,8,9,7,5,
1,2,1,4,6,7,9,8,5,3,
2,2,1,5,
1,2,1,5,8,
1,2,1,6,7,
1,2,1,6,7,9,
1,2,1,7,
3,2,1,7,9,
1,2,1,8,
1,2,1,9,
1,2,1,9,3,
16,2,3,
1,2,3,1,7,
2,2,3,4,
1,2,3,4,7,
1,2,3,4,8,9,
6,2,3,5,
1,2,3,5,6,7,8,1,4,9,
2,2,3,5,7,
1,2,3,5,7,6,8,1,9,4,
1,2,3,5,7,8,
1,2,3,5,9,
26,2,3,7,
3,2,3,7,8,
1,2,3,7,8,4,9,1,5,6,
1,2,3,7,8,9,
1,2,3,7,8,9,1,4,5,6,
3,2,3,7,9,
5,2,3,8,
1,2,3,8,1,
7,2,3,8,7,
1,2,3,8,7,6,5,
1,2,3,8,7,9,
1,2,3,8,9,
4,2,3,9,
3,2,4,
2,2,4,3,
1,2,4,6,1,5,3,7,8,9,
3,2,4,7,
2,2,4,9,
12,2,5,
2,2,5,1,
1,2,5,1,7,
5,2,5,3,
4,2,5,3,7,
1,2,5,3,7,8,9,6,4,1,
1,2,5,4,
1,2,5,4,1,3,8,7,9,6,
3,2,5,6,
1,2,5,6,1,7,4,
1,2,5,6,7,8,3,1,9,4,
1,2,5,6,7,9,
1,2,5,6,7,9,4,
1,2,5,6,9,
15,2,5,7,
1,2,5,7,3,1,9,8,6,4,
2,2,5,7,4,
1,2,5,7,4,9,
1,2,5,7,6,
1,2,5,7,8,
3,2,5,7,9,
3,2,5,8,
1,2,5,9,
1,2,6,
1,2,6,3,
1,2,6,5,
1,2,6,5,7,
2,2,6,7,
1,2,6,7,4,9,
1,2,6,7,5,
1,2,6,7,5,4,1,9,8,3,
1,2,6,7,9,
1,2,6,7,9,4,1,8,5,3,
1,2,6,9,
1,2,6,9,5,
466,2,7,
31,2,7,1,
1,2,7,1,3,8,
1,2,7,1,3,8,9,
1,2,7,1,4,6,9,3,8,5,
1,2,7,1,4,6,9,8,5,3,
1,2,7,1,4,9,
2,2,7,1,6,
1,2,7,1,6,9,
1,2,7,1,6,9,4,
3,2,7,1,9,
1,2,7,1,9,4,
1,2,7,1,9,4,5,6,3,8,
1,2,7,1,9,6,5,4,3,8,
47,2,7,3,
1,2,7,3,4,
1,2,7,3,4,8,
2,2,7,3,5,
20,2,7,3,8,
1,2,7,3,8,4,1,5,9,6,
1,2,7,3,8,5,1,6,
1,2,7,3,8,5,4,
1,2,7,3,8,5,6,
1,2,7,3,8,6,5,4,9,1,
1,2,7,3,8,9,
29,2,7,4,
2,2,7,4,1,
1,2,7,4,1,5,3,6,9,8,
1,2,7,4,1,5,6,9,8,3,
1,2,7,4,1,9,6,8,5,3,
1,2,7,4,3,
4,2,7,4,9,
2,2,7,4,9,1,5,6,8,3,
83,2,7,5,
2,2,7,5,1,
2,2,7,5,1,4,
1,2,7,5,1,6,3,8,9,4,
1,2,7,5,1,9,4,8,3,6,
1,2,7,5,1,9,8,3,6,4,
2,2,7,5,3,
1,2,7,5,3,9,8,6,1,4,
2,2,7,5,4,
2,2,7,5,6,
