Candidate,Round 1,Round 2,Round 3
Matthew Desmond,160.0,168.03068000000002,170.16503000000003
David Gambles,376.0,393.18192,395.00007
Don Gatt,89.0,96.09688,97.99407999999997
Mike Mcconachie,639.0,656.5554400000001,705.64549
Fiona Jane Murdoch,771.0,699.0,699.0
Pearl Barbara Paul,759.0,759.0,699.0
