Candidate,Round 1,Round 2,Round 3
Ade Aibinu,1364.0,1419.2451600000002,1422.3318800000002
Feargal Dalton,2291.0,2291.0,2155.0
Eunis Jassemi,2447.0,2155.0,2155.0
Lana Reid - Mcconnell,2016.0,2102.1490400000002,2199.67752
James Douglas Speirs,358.0,444.98428,453.17596000000003
Mahmood Ullah,141.0,145.05687999999998,153.01112
