Candidate,Round 1,Round 2
Mark Callaghan,59.0,62.55155
Gordan Low,1158.0,1158.0
Alan Moir,1267.0,967.0
Michael O'Donnell,724.0,985.15731
Gary Pews,297.0,306.70757000000003
Alisdair Sinclair,362.0,372.65465
