Candidate,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6
Brian Gerard Doyle,88.0,90.97702000000001,91.92094999999999,118.25173,0.0,0.0
Gaynor Hamilton,421.0,437.539,478.78148,492.80609,521.71775,0.0
Kate Mason,77.0,79.64623999999999,80.08189999999999,0.0,0.0,0.0
Derek Stewart,916.0,613.0,613.0,613.0,613.0,613.0
Graham Watt,288.0,546.66996,548.70304,556.3646,583.0987700000001,750.90398
Gary Womersley,661.0,661.0,613.0,613.0,613.0,613.0
