Candidate,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6
David Balfour,1510.0,1402.0,1402.0,1402.0,1402.0,1402.0
Allyson Black,1301.0,1309.4393599999999,1332.72544,1483.53008,1402.0,1402.0
James Bundy,1030.0,1031.788,1040.0025600000001,1074.57728,1094.39886,0.0
Judith Mclaughlin,107.0,109.71776000000001,0.0,0.0,0.0,0.0
Margaret-Anne Milne,676.0,756.8176000000001,799.39104,0.0,0.0,0.0
Robert Spears,980.0,988.08176,1004.5824000000001,1247.11632,1274.4624000000001,1834.1909
