Candidate,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6
Melanie Jane Atkins,108.0,139.24331999999998,141.85613999999998,0.0,0.0,0.0
Brenda Durno,1085.0,1085.0,950.0,950.0,950.0,950.0
Graham Smith,492.0,547.73654,670.6635000000001,687.57204,753.3551,0.0
Lois Speed,1177.0,950.0,950.0,950.0,950.0,950.0
Luke Stronach,265.0,303.37914,305.86753999999996,370.61954,0.0,0.0
Derek Wann,671.0,716.90068,717.89604,743.8033,843.90532,1053.625
