Candidate,Round 1,Round 2,Round 3,Round 4
Rhona Brock,674.0,742.3202300000003,779.284,938.8464799999999
Ann Cowan,874.0,889.4332200000002,909.5035300000001,945.5148900000002
Bob Ferguson,575.0,588.36291,598.49217,640.1271099999999
Alastair Mclean,323.0,355.74853999999993,389.33588999999995,0.0
Kenneth Robertson Spittal,106.0,125.38562999999999,0.0,0.0
Anne Younger,1137.0,923.0,923.0,923.0
