Candidate,Round 1,Round 2,Round 3,Round 4
David Stuart Berry,1018.0,1043.8020000000001,1059.0255000000002,1253.8595
Tim Day,1465.0,1195.0,1195.0,1195.0
Jeremy Douglas Findlay,350.0,426.85310000000004,444.4481,464.9955
Jim Goodfellow,1294.0,1294.0,1195.0,1195.0
Ronnie Gurr,247.0,250.13309999999998,255.1056,0.0
Stuart Leitch Mackinnon,405.0,485.1705,510.64500000000004,526.2570000000001
