Candidate,Round 1,Round 2
Alistair Bain,895.0,959.2004000000001
Jayne Baxter,1117.0,1117.0
Alistair Harvey,126.0,142.92556000000002
Peter Lockhart,1309.0,927.0
Darren Tod,180.0,197.50920000000002
Elaine Walker,79.0,114.01840000000001
