Candidate,Round 1,Round 2,Round 3,Round 4
Caroline Cochrane,1423.0,1002.0,1002.0,1002.0
Leagh Douglas,1049.0,1049.0,1002.0,1002.0
Gordon Edgar,217.0,310.19275,327.30635,371.6942
Barbra Harvie,222.0,266.08165,268.23205,0.0
Scott Redpath,223.0,280.69075,286.73875,336.60915
Elaine Thornton-Nicol,873.0,943.70815,945.1417500000003,1073.2445500000001
