Candidate,Round 1,Round 2,Round 3,Round 4,Round 5
Stephen William Calder,517.0,618.4245200000001,719.42084,908.83168,932.45188
Sam Coull,273.0,351.41767999999996,415.72067999999996,0.0,0.0
Alan Fakley,1364.0,922.0,922.0,922.0,922.0
Stuart Wallace Pratt,559.0,566.77696,583.01736,615.66544,0.0
Colin Alexander Simpson,187.0,289.07259999999997,0.0,0.0,0.0
Stephen William Smith,787.0,801.25776,827.76644,857.35876,1383.86744
