Candidate,Round 1,Round 2
Catherine Hughson,282.0,339.27202
Moraig Lyall,414.0,283.0
Brian Nugent,26.0,29.1642
Martin Randall,99.0,116.08667999999999
Davie Sandison,322.0,322.0
Ian Scott,271.0,308.33756
