Candidate,Round 1,Round 2,Round 3,Round 4
Jacqueline Cameron,1613.0,1113.0,1113.0,1113.0
John Hood,1310.0,1310.0,1113.0,1113.0
Brian Jackson,595.0,599.6496999999999,636.19204,663.38844
Robert Macintyre,141.0,151.84929999999997,190.64733999999999,217.72012
Iain Mcmillan,1270.0,1270.0,1270.0,1113.0
Andy Steel,634.0,1077.58138,1105.1009199999999,1129.82492
