Candidate,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6
James Hynam,643.0,829.99054,844.6284999999999,851.76502,1001.42729,0.0
Scott Lawrence,2077.0,1212.0,1212.0,1212.0,1212.0,1212.0
Paul Mcbain,962.0,991.1522,1239.7969999999998,1212.0,1212.0,1212.0
Shaun Moat,309.0,403.11996,416.75532,423.85080000000005,0.0,0.0
Kathleen Robertson,1516.0,1516.0,1212.0,1212.0,1212.0,1212.0
Draeyk Van Der Horn,550.0,927.7292199999999,932.5417,933.9663,1047.4917,1513.50509
