Candidate,Round 1,Round 2,Round 3,Round 4,Round 5
Ian Thomas Bryson,276.0,276.92084,280.56611999999996,302.93309999999997,0.0
Colin Jackson,435.0,443.51777,600.9482999999999,622.36813,751.3323
Michael Mccormick,970.0,970.0,749.0,749.0,749.0
Jim Mceleny,973.0,749.0,749.0,749.0,749.0
Jayne Peberdy,255.0,452.28997,464.59279,477.97405000000003,489.66229999999996
Kenny Shepherd,85.0,87.3021,94.36483,0.0,0.0
