Candidate,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6
Mary Cairns,413.0,416.42192,0.0,0.0,0.0,0.0
John Docherty,964.0,970.4873899999999,1068.27158,990.0,990.0,990.0
Donald Macgregor,526.0,576.75848,678.18428,699.35066,825.2188900000001,1098.08715
Elizabeth Riches,1066.0,990.0,990.0,990.0,990.0,990.0
Mike Scott-Hayward,446.0,452.41610000000003,504.62997,518.46027,0.0,0.0
Tom Waterton-Smith,542.0,545.27934,561.35063,566.43689,735.84468,0.0
