Candidate,Round 1,Round 2,Round 3
Walter Brogan,1554.0,903.0,903.0
Pam Clearie,631.0,1176.8397300000001,903.0
Christine Deanie,845.0,875.5804299999998,925.3584799999998
Alan Fraser,190.0,195.02692,210.67007
Alistair Fulton,311.0,326.08076,340.00379999999996
Lindsay Watt,80.0,91.72948,118.0476
