Candidate,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6
Alec Clark,1502.0,1133.0,1133.0,1133.0,1133.0,1133.0
Karen Clark-Mccartney,429.0,569.2775700000001,586.60117,636.42064,803.83266,0.0
Ian Fitzsimmons,1211.0,1211.0,1133.0,1133.0,1133.0,1133.0
Peter Henderson,876.0,919.2379199999999,921.2987199999999,933.3928800000001,1012.45406,1285.12273
Owen Martin,428.0,485.48678,497.27198,515.12213,0.0,0.0
Gavin Scott,85.0,125.04421,134.18901,0.0,0.0,0.0
