Candidate,Round 1,Round 2,Round 3,Round 4,Round 5
Nigel Benzies,112.0,113.20147999999999,0.0,0.0,0.0
John Cairney,1037.0,948.0,948.0,948.0,948.0
Ian Harrow,321.0,322.88804,356.97386,0.0,0.0
Gladys Miller,795.0,798.4327999999999,818.5186199999999,862.77608,976.93268
Graham Scott,671.0,746.17832,765.60742,837.29398,0.0
Jim Wardhaugh,853.0,855.3171400000001,866.5746000000001,912.7462400000001,1030.89914
