Candidate,Round 1,Round 2
Alastair Dunlop,94.0,103.30474000000001
John Mackay,310.0,310.0
Alistair Maclennan,119.0,128.30474
Kenneth Macleod,298.0,298.0
Iain Morrison,354.0,293.0
Kenneth Macleod Murray,289.0,316.39729
