Candidate,Round 1,Round 2,Round 3,Round 4
David Aitchison,1106.0,1116.38408,1130.16868,1381.23378
Michael Burnett,298.0,302.23840000000007,312.8183,0.0
Mari-Ellena Corvi,312.0,324.7152,333.1879,360.0816
Alan Gilbert,761.0,880.7347999999997,882.7102999999997,892.68968
Lynn Munro,1412.0,1412.0,1350.0,1350.0
Ann Ritchie,1510.0,1350.0,1350.0,1350.0
