Candidate,Round 1,Round 2
Keith Brooks,1004.0,1004.0
Bill Crawford,114.0,117.16088
Kevin Diamond,111.0,122.45819
Vaughan Jones,589.0,1025.99166
Joe Mcilwee,1392.0,842.0
Don Shearer,157.0,187.81858
