Candidate,Round 1,Round 2,Round 3,Round 4
Anne Anderson,151.0,345.31882,406.6376,414.82974
Graham Lindsay,692.0,699.55022,724.74236,1079.9214
Kathleen Martin,706.0,839.91706,868.87776,882.27514
Bill Mason,1452.0,875.0,875.0,875.0
Jane Mctaggart,363.0,368.9607,390.35808,0.0
Marion Robertson,132.0,160.21397999999996,0.0,0.0
