Candidate,Round 1,Round 2
Neil Baillie,1200.0,1200.0
Marion Jane Muir Ewenson,843.0,1003.004
David Keating,1276.0,994.0
Archie Peebles,343.0,348.083
Denise May Rothnie,187.0,194.73499999999999
Judy Margaret Whyte,1120.0,1120.0
