Candidate,Round 1,Round 2
Jim Dempster,1194.0,870.0
Gill Dykes,1154.0,1154.0
Elly Hurren,81.0,88.32645
John Syme,830.0,1098.6365
Douglas Watters,198.0,209.12535
Andrew Wood,892.0,892.0
