Candidate,Round 1,Round 2
Julie Bell,1240.0,1240.0
Jeanette Gaul,413.0,421.29748
Angus Macmillan Douglas,1118.0,1318.58256
Liz Petrie,206.0,218.98736000000002
Ronnie Proctor,1397.0,1145.0
Gordon Watson,203.0,210.93672
