Candidate,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6
Christine Cormack,124.0,127.51868999999999,129.11761,0.0,0.0,0.0
Scott Ferguson,247.0,263.30087,271.61075,292.17909000000003,0.0,0.0
David Mason,937.0,962.7079799999999,965.9733799999999,1017.89841,1048.8817,0.0
Vaughan Moody,1309.0,1215.0,1215.0,1215.0,1215.0,1215.0
Manjinder Shergill,996.0,1021.99522,1028.03058,1046.35436,1177.8644,1408.56383
Keith Small,1243.0,1243.0,1215.0,1215.0,1215.0,1215.0
