Candidate,Round 1,Round 2
Ian Blake,856.0,856.0
Rob Davidson,814.0,814.0
Tom Mcaughtrie,903.0,788.0
Charles Milroy,405.0,411.1128
Davie Stitt,783.0,870.23475
Bill Wright,174.0,178.5846
