Candidate,Round 1,Round 2,Round 3
Jackie Burns,1965.0,1051.0,1051.0
Andy Carmichael,752.0,1506.9059900000002,1506.9059900000002
Peter Craig,1124.0,1124.0,1051.0
Donald Murdo Mackay,131.0,140.76773000000003,143.69002999999998
Lesley Mcdonald,958.0,1009.62943,1070.67303
David Murray,321.0,333.55850999999996,335.11707
