Candidate,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9,Round 10,Round 11
Kevin Campbell,222.0,225.0756,231.0756,234.07559999999998,249.28064,265.48568,274.48568,0.0,0.0,0.0,0.0
Jamie Cocozza,60.0,63.280639999999984,67.28063999999998,69.48567999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Paul Corran,41.0,41.615120000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Laura Doherty,1356.0,1364.81672,1368.0217599999999,1370.4318400000002,1379.6368800000002,1384.8419200000003,1387.8419199999998,1477.66208,1600.2772000000002,1512.0,1512.0
Michelle Ferns,773.0,778.9461600000003,779.9461600000002,782.9461600000002,785.1512000000002,785.1512000000002,786.1512000000002,811.3562400000001,1377.61168,1453.7366499999998,1597.61107
Alex Kerr,724.0,729.126,731.1259999999999,736.5360799999999,739.94616,743.94616,751.1512,774.1511999999999,0.0,0.0,0.0
Thomas Kerr,1368.0,1381.9427200000002,1390.9427200000002,1394.3528000000001,1399.3528000000001,1409.55784,1448.3780000000002,1462.378,1468.378,1469.44866,1671.42802
Steven Marshall,51.0,54.28064,56.485679999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frank Mcaveety,1902.0,1512.0,1512.0,1512.0,1512.0,1512.0,1512.0,1512.0,1512.0,1512.0,1512.0
Timothy Pollard,82.0,87.74111999999998,88.74111999999998,94.94615999999998,96.15119999999999,0.0,0.0,0.0,0.0,0.0,0.0
Jamie Robertson,105.0,110.74112,111.74112,120.74111999999998,122.94615999999999,129.35623999999999,0.0,0.0,0.0,0.0,0.0
Anne Simpson,872.0,1162.1315999999995,1164.1315999999995,1173.5668799999996,1184.7971199999997,1214.6928799999996,1238.97352,1275.2037599999999,1287.434,1289.89636,0.0
