Candidate,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9,Round 10,Round 11,Round 12
Ben Adams,145.0,150.14249999999998,157.39584000000025,159.39584000000013,168.59543000000008,174.65314000000012,175.70498000000006,185.25363999999996,0.0,0.0,0.0,0.0
Deryck Beaumont,21.0,21.4114,21.56759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kenneth Duffy,859.0,866.1995000000001,868.2498799999997,870.2634699999999,873.5664699999998,876.5709999999999,878.81626,892.3063999999999,923.4470600000002,958.15971,1039.18309,1591.27377
Ian Glenny,186.0,188.46839999999997,189.78253999999998,197.82271999999998,198.84931,200.85836999999998,203.24856999999997,241.39215000000002,273.09493000000003,0.0,0.0,0.0
Kaye Harmon,565.0,573.0223,574.9633700000002,575.9633699999999,578.20019,582.2222500000001,585.89999,598.98348,621.97212,649.35297,754.1585299999999,0.0
Ian Kelly,131.0,133.8798,134.89534,137.1231,140.37745,146.58315,147.99669999999998,0.0,0.0,0.0,0.0,0.0
Agnes Duncan Magowan,1507.0,1197.0,1197.0,1197.0,1197.0,1197.0,1197.0,1197.0,1197.0,1197.0,1197.0,1197.0
James Mitchell,25.0,26.851300000000002,28.09138,29.09138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gary O'Rorke,325.0,330.75960000000003,332.00362000000007,333.00362000000007,336.05680000000007,342.0658600000001,343.78363,364.6763199999999,376.87703999999997,432.50332,0.0,0.0
Alan Valentine,964.0,1224.0047999999979,1197.0,1197.0,1197.0,1197.0,1197.0,1197.0,1197.0,1197.0,1197.0,1197.0
Nathan Wilson,1188.0,1192.3197,1193.0506300000002,1193.0506300000002,1194.05969,1218.0908100000001,1197.0,1197.0,1197.0,1197.0,1197.0,1197.0
Neil Wilson,68.0,68.4114,68.81990000000002,68.8199,68.84649,0.0,0.0,0.0,0.0,0.0,0.0,0.0
