Candidate,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9,Round 10,Round 11,Round 12
Campbell Dickson,216.0,249.69952999999987,251.62703999999988,257.93620999999996,277.26459,303.28380000000004,0.0,0.0,0.0,0.0,0.0,0.0
John Finlayson,1449.0,1001.0,1001.0,1001.0,1001.0,1001.0,1001.0,1001.0,1001.0,1001.0,1001.0,1001.0
Hamish Fraser,339.0,395.8872799999997,408.5056199999997,425.1239599999998,442.8339999999999,515.6357399999999,545.5824599999999,554.8191399999998,559.1492000000001,559.2454500000001,632.02602,0.0
John Gordon,453.0,534.9300499999996,539.8575599999997,549.4758999999997,582.6592999999996,631.9151899999997,737.2627799999998,757.1177999999999,765.30846,765.7150899999999,834.64423,1035.20713
Ronald Macdonald,717.0,829.5378799999993,835.1562199999994,847.4653899999995,892.3396199999995,925.9771699999997,992.6339299999999,999.2522699999998,1001.9610699999998,1001.0,1001.0,1001.0
Calum Macleod,626.0,656.6078299999998,666.9169999999998,676.5353399999998,690.3903599999998,710.3178699999997,726.6462499999998,1028.7571599999999,1001.0,1001.0,1001.0,1001.0
Ken Macleod,97.0,106.58427,131.20261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Malcolm Macleod,319.0,331.3668,335.3667999999999,359.22182,371.00434999999993,383.93186,394.47771,395.78688,396.27056,396.35949999999997,0.0,0.0
Drew Millar,213.0,241.13446999999988,243.44363999999987,250.44363999999987,265.75280999999984,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Peter O'Donnghaile,98.0,104.49257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ian Renwick,310.0,317.4200799999999,320.4200799999999,323.4200799999999,334.82095,351.74845999999997,363.5309899999999,0.0,0.0,0.0,0.0,0.0
Moira Elisobeth Scobbie,164.0,197.0811899999999,208.00869999999992,222.55454999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
