Candidate,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9,Round 10,Round 11,Round 12
Jack Caldwell,1317.0,1400.6280000000008,1401.9090000000008,1413.1576000000007,1433.3848500000008,1445.9969500000007,1455.6134299999999,1468.6134299999999,1506.0257100000003,1562.5341200000003,1995.2005100000001,2513.6108
James Dalgleish,2058.0,2184.350999999998,2186.4859999999976,2186.713249999998,2195.940499999999,2224.1647000000003,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0
Niel Deepnarain,106.0,107.81799999999998,107.86069999999998,119.08794999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bonus Fombo,763.0,766.4087500000002,766.5368500000001,770.53685,795.7640999999999,796.7641,798.7482299999999,810.9754799999998,818.71153,832.77692,0.0,0.0
David Don Jacobsen,113.0,138.67924999999994,139.04219999999992,141.04219999999992,148.04219999999992,185.19929999999994,187.56900999999996,206.59072999999998,242.15348,0.0,0.0,0.0
Amy Mcneese-Mechan,2248.0,2248.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0
Rob Munn,1132.0,1405.609000000003,1447.0493500000007,1448.5252000000005,1458.5465500000005,1484.7946499999998,1487.7147400000001,1533.55166,1580.21774,1632.78588,1648.07829,0.0
Jon Pullman,60.0,61.818,61.88204999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Susan Rae,2847.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0
David Renton,98.0,147.7677499999999,148.57904999999988,155.0548999999999,167.9638999999999,180.57599999999994,181.84419999999994,203.10365999999993,0.0,0.0,0.0,0.0
Richard Charles Shillcock,119.0,141.04324999999994,141.17134999999996,145.17134999999993,147.17134999999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joe Smith,135.0,138.40875,138.8571,144.8571,148.8571,155.08434999999997,155.22496999999998,0.0,0.0,0.0,0.0,0.0
