Candidate,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9,Round 10,Round 11,Round 12
Eleanor Collier,1724.0,1641.0,1641.0,1641.0,1641.0,1641.0,1641.0,1641.0,1641.0,1641.0,1641.0,1641.0
Todd Ferguson,1633.0,1633.91466,1641.039450000001,1641.0,1641.0,1641.0,1641.0,1641.0,1641.0,1641.0,1641.0,1641.0
Jane Fraser,100.0,101.25164,101.74454999999998,101.74479,105.87921999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alan Hill,1325.0,1393.166239999998,1405.9370899999972,1405.938089999997,1420.8061299999974,1461.047819999998,1474.1407899999986,1485.5507399999995,1545.4833699999995,1756.61659,1641.0,1641.0
Nick Hobson,72.0,72.81837999999999,74.87963999999997,74.87993999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wendy Low-Thomson,234.0,234.67395999999997,249.6405000000002,249.64134000000018,267.18239000000017,291.3168400000002,299.4994100000001,326.76835000000005,0.0,0.0,0.0,0.0
Tom Marshall,1331.0,1331.3369800000003,1341.5536600000012,1341.5772000000002,1346.6669400000005,1349.7118300000004,1352.71187,1379.1153800000002,1412.75943,1439.29729,1442.89337,1677.60107
James Mcdaid,118.0,118.57768,119.42906999999998,119.42952999999999,120.47769,125.47768999999998,0.0,0.0,0.0,0.0,0.0,0.0
Margaret Mclellan,203.0,203.43326,206.12186,206.12274000000002,208.12274,210.12275999999997,219.21582999999993,0.0,0.0,0.0,0.0,0.0
Ian Murdoch,1718.0,1718.0,1641.0,1641.0,1641.0,1641.0,1641.0,1641.0,1641.0,1641.0,1641.0,1641.0
David John Nairn,392.0,397.82493999999974,404.50162999999975,404.50218999999987,417.1047,427.2424599999999,440.3836099999999,478.75218000000007,527.29243,0.0,0.0,0.0
Valerie Reid,995.0,996.9255999999999,1004.7225399999993,1004.7238999999996,1010.7239399999997,1014.7239599999998,1066.04102,1128.8063200000001,1175.76719,1298.5391399999999,1325.91181,0.0
