Candidate,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9,Round 10,Round 11,Round 12
Jim Berrington,271.0,289.80534,293.14038,310.9869100000001,311.38372000000004,313.3143600000001,342.25012000000004,345.77586,351.03873,372.5671,0.0,0.0
Brian Brown,247.0,254.13306,256.47994000000006,261.40690000000006,275.76678000000004,278.80163000000005,290.11159,292.62226,332.29468,0.0,0.0,0.0
Fay Dornan,34.0,36.91807,38.27679,41.85273,43.85273000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Caroline Johnston,116.0,119.89076,121.00243999999999,126.24748000000002,126.57171000000002,127.57171000000004,129.60838,0.0,0.0,0.0,0.0,0.0
Chris Kelly,1869.0,1263.0,1263.0,1263.0,1263.0,1263.0,1263.0,1263.0,1263.0,1263.0,1263.0,1263.0
Billy Mcallister,1441.0,1441.0,1263.0,1263.0,1263.0,1263.0,1263.0,1263.0,1263.0,1263.0,1263.0,1263.0
Angela Mccormick,107.0,113.80883,116.77331,121.94810000000003,122.06120000000001,127.24273000000004,0.0,0.0,0.0,0.0,0.0,0.0
Graham Craig Nicholls,21.0,24.2423,25.477499999999996,27.879999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gavin Clark Roberts,533.0,547.91458,696.3856200000002,708.0124700000003,709.2595100000003,715.9543000000003,735.2243500000001,747.5852500000001,758.94615,775.19137,813.0828100000001,0.0
Helen Stephen,940.0,1424.0753899999995,1424.0753899999995,1263.0,1263.0,1263.0,1263.0,1263.0,1263.0,1263.0,1263.0,1263.0
Margaret Walker,148.0,151.2423,151.98342,154.63643000000002,157.51109,160.51109,160.54775999999998,184.26854,0.0,0.0,0.0,0.0
Kieran Wild,585.0,596.02382,601.4587000000001,622.5214699999999,623.7947599999999,634.9445299999998,667.9471,724.5896299999998,767.70595,797.5767599999999,846.80861,1159.9495
