Candidate,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9,Round 10,Round 11
Euan Blockley,1395.0,1410.0,1411.0,1415.0,1426.0,1429.0,1429.3315,1580.49725,1612.5525,1613.47119,1656.70254
Max Brodie,67.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Margot Clark,676.0,676.0,678.0,685.0,707.0,714.0,716.37575,0.0,0.0,0.0,0.0
John Cowan,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Malcolm Cunning,1348.0,1357.0,1365.0,1370.0,1400.0,1415.0,1417.2652499999992,1558.430999999999,1654.8177499999995,1660.55853,2646.47759
Alan Digney,288.0,293.0,303.0,310.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Glenn Elder,1646.0,1648.0,1655.0,1655.0,1720.0,1864.0,1761.0,1761.0,1761.0,1761.0,1761.0
Paul Leinster,448.0,448.0,448.0,450.0,466.0,0.0,0.0,0.0,0.0,0.0,0.0
Cathy Milligan,744.0,752.0,768.0,797.0,845.0,866.0,874.177,937.45325,0.0,0.0,0.0
Margaret Morgan,1032.0,1032.0,1037.0,1040.0,1105.0,1357.0,1438.7147500000003,1532.433,1802.3005,1761.0,1761.0
Bobby Pollock,69.0,72.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alan Stewart,1029.0,1034.0,1039.0,1047.0,1070.0,1078.0,1079.547,1172.82325,1279.0994999999998,1285.0968699999999,0.0
