Candidate,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9,Round 10,Round 11
Keenan Alexander,280.0,283.39752000000004,284.71064,286.61918000000003,288.86186,302.70010999999994,328.14083999999997,334.46559,0.0,0.0,0.0
Nina Ballantyne,335.0,351.0168800000002,358.15696999999994,363.6259099999999,371.5073699999999,390.27284999999995,404.76174000000003,460.97501,520.84717,0.0,0.0
Frank Docherty,1846.0,1398.0,1398.0,1398.0,1398.0,1398.0,1398.0,1398.0,1398.0,1398.0,1398.0
Jennifer Dunn,1523.0,1523.0,1398.0,1398.0,1398.0,1398.0,1398.0,1398.0,1398.0,1398.0,1398.0
Steven Laird,82.0,84.18412000000001,85.41517,86.51527000000002,94.63125000000001,94.91137,0.0,0.0,0.0,0.0,0.0
Alan Lee,62.0,66.36824,68.25585000000001,69.32439000000002,74.89182000000002,0.0,0.0,0.0,0.0,0.0,0.0
Elaine Mcdougall,1272.0,1581.4170000000008,1581.4170000000008,1398.0,1398.0,1398.0,1398.0,1398.0,1398.0,1398.0,1398.0
Daniel O'Donnell,154.0,159.33896,163.27832,166.13941999999997,168.22148999999993,171.54623999999998,176.79244999999995,0.0,0.0,0.0,0.0
Fraser Paterson,39.0,42.88288,44.11393,47.031310000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Russell Robertson,981.0,1043.85412,1046.8907100000001,1179.6759299999999,1184.6203699999999,1199.61781,1207.60595,1245.7064799999998,1285.05421,1383.50454,1527.72205
Colin Rullkotter,414.0,423.2218400000001,519.4078799999995,523.4500799999995,526.4582399999999,532.5555299999999,540.0479500000001,566.29422,605.0150699999999,735.4796200000001,0.0
