Candidate,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9,Round 10,Round 11
George Adam,1421.0,940.0,940.0,940.0,940.0,940.0,940.0,940.0,940.0,940.0,940.0
Kirsty Ann Blackman,823.0,851.09467,857.4331599999998,861.7716499999999,870.7871199999998,890.7871199999998,905.4640999999999,934.8335300000001,960.1720200000001,940.0,940.0
Brian Dean,145.0,161.5860099999999,165.26298999999992,166.26298999999992,172.93996999999993,196.93996999999993,213.27845999999997,0.0,0.0,0.0,0.0
Lesley Dunbar,271.0,628.78393,635.1224199999999,641.46091,657.50732,683.86128,708.24618,756.70843,797.07786,798.93015,918.8357100000001
Aric Gilinsky,203.0,206.72338999999997,210.72338999999997,212.72338999999997,216.72338999999997,221.72338999999997,237.40036999999995,272.41584,0.0,0.0,0.0
David Page Henderson,101.0,108.78527,109.78527,121.12375999999999,161.46224999999998,177.80074,0.0,0.0,0.0,0.0,0.0
Elva Hills,99.0,102.04640999999998,107.04640999999998,117.72339,125.40037,0.0,0.0,0.0,0.0,0.0,0.0
John Lind,512.0,522.4931899999999,525.4931899999999,527.4931899999999,536.8471499999999,545.8471499999999,561.52413,577.8626200000001,587.86262,602.5016,0.0
Claire Emma O'Rourke,41.0,42.69245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Archibald Robertson,87.0,97.49318999999998,100.83167999999998,113.50865999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Douglas James Thomson,55.0,58.04641,59.04641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
