Candidate,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9,Round 10
Brian Brown,193.0,214.65495999999996,217.54311999999993,225.10101999999995,0.0,0.0,0.0,0.0,0.0,0.0
James Cruickshank,94.0,119.10719999999998,120.79195999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Norman Fraser,587.0,651.6510400000006,658.7511000000007,673.6341400000005,693.6262200000006,711.8849600000002,814.39906,861.99984,905.5351400000001,0.0
Ellen Hurcombe,1961.0,1961.0,1725.0,1725.0,1725.0,1725.0,1725.0,1725.0,1725.0,1725.0
David E Ledgerwood,338.0,358.71344,361.96261999999996,368.51714,451.01655999999997,453.95807999999994,0.0,0.0,0.0,0.0
Jim Mackechnie,1055.0,1118.3956800000005,1247.761180000001,1263.4979000000012,1274.7891400000012,1288.9747200000006,1333.5165400000008,1393.66368,1692.04846,1876.3213
Haleema Malik,579.0,608.5009600000001,631.9672600000001,637.4014400000001,644.1494600000001,653.4048200000001,673.7073600000001,729.06384,0.0,0.0
Billy Mcallister,2514.0,1725.0,1725.0,1725.0,1725.0,1725.0,1725.0,1725.0,1725.0,1725.0
Angela Mccormick,425.0,544.2592000000002,553.4050400000002,567.6053000000002,584.2397400000003,648.0958800000003,660.29276,0.0,0.0,0.0
Kirsteen Redpath,175.0,222.38983999999996,224.31527999999994,231.26017999999993,235.82937999999996,0.0,0.0,0.0,0.0,0.0
Kieran Wild,703.0,793.6997600000004,797.7913200000004,809.1850800000004,819.8780000000004,887.4934600000003,929.94908,1115.1957400000001,1157.71636,1534.9786199999999
