Candidate,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9,Round 10
George Clark,678.0,715.9123200000001,725.7146000000002,735.3467200000001,833.5578399999999,850.71584,930.17436,970.31552,0.0,0.0
Jim Coleman,2689.0,2689.0,2076.0,2076.0,2076.0,2076.0,2076.0,2076.0,2076.0,2076.0
Ian Dickie,216.0,220.91456000000002,227.5254,234.80648000000002,0.0,0.0,0.0,0.0,0.0,0.0
Douglas Hay,1342.0,1405.5382400000003,1708.9530000000004,1724.1459199999997,1737.7765599999996,1772.5680399999994,1854.04464,1941.27236,2072.6915200000003,2659.5056
Michael Kayes,466.0,509.5289600000001,532.78088,553.86892,565.09688,635.22244,672.2405200000001,0.0,0.0,0.0
Robert Macbean,739.0,773.4019200000002,873.4763600000013,883.2664800000009,893.441200000001,912.7921200000008,963.5290000000002,1013.6139600000001,1058.80688,0.0
John Mason,3199.0,2076.0,2076.0,2076.0,2076.0,2076.0,2076.0,2076.0,2076.0,2076.0
David Mcdonald,250.0,917.3270400000021,923.481960000002,949.8692800000016,955.9755200000011,984.5222000000006,1046.5792800000002,1177.0612,1266.89292,1325.6994
Jim Mcvicar,224.0,252.43424000000005,260.86876000000007,285.92188000000004,296.14984000000004,0.0,0.0,0.0,0.0,0.0
Raymond Morrison,181.0,205.92384,212.30672,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marjory Watt,392.0,430.9654400000001,442.13548000000003,484.24296000000004,498.8219600000001,523.489,0.0,0.0,0.0,0.0
