Candidate,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9,Round 10,Round 11
Declan Blench,1348.0,1363.8185500000004,1364.8185500000004,1376.1061600000005,1380.1061600000007,1431.9689900000003,1392.0,1392.0,1392.0,1392.0,1392.0
Annette Christie,1014.0,1023.7787399999995,1024.7787399999997,1036.0663499999996,1039.6415699999998,1100.6415699999998,1133.10988,1174.4533099999999,1753.0361899999998,1392.0,1392.0
Matt Dobson,63.0,68.17698000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Faten Hameed,688.0,710.4335799999998,716.7211899999999,724.72119,746.02207,749.3096800000001,749.47714,805.91519,810.9151899999999,819.20291,0.0
Ann Jenkins,1954.0,1392.0,1392.0,1392.0,1392.0,1392.0,1392.0,1392.0,1392.0,1392.0,1392.0
Ruth Lindsay,90.0,108.98226000000003,112.84509000000001,116.84509000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
William Mclachlan,249.0,264.81855,271.39377,286.39377,298.69465,318.26986999999997,318.62082999999996,0.0,0.0,0.0,0.0
Tony Osy,101.0,102.15044,106.15044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kilian Riley,568.0,572.6017599999998,572.6017599999998,585.6017599999997,587.6017599999997,634.6017599999997,638.9958199999999,655.7105899999999,0.0,0.0,0.0
Hannah Smith,240.0,249.49113,266.06635000000006,281.06635000000006,293.36723,0.0,0.0,0.0,0.0,0.0,0.0
Kieran J Turner,642.0,1046.092049999998,1064.3929299999984,1073.6805399999985,1102.1716699999993,1148.9371399999998,1149.5197199999998,1238.06807,1258.96921,1327.64227,1719.4433099999999
