Candidate,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9,Round 10,Round 11
Nina Baker,558.0,652.2404799999999,658.1831799999995,662.5604399999996,665.5604399999995,676.1570399999996,704.2662299999997,753.15527,809.04251,891.84321,1163.50097
David Scott Barnes,249.0,273.51526,275.40812000000005,276.3048,279.34882000000005,280.76313,283.85906,283.91097,314.2904,0.0,0.0
Philip Braat,1561.0,1064.0,1064.0,1064.0,1064.0,1064.0,1064.0,1064.0,1064.0,1064.0,1064.0
Graham Campbell,89.0,110.96821999999999,112.06872,113.20842,113.20842000000002,115.32004000000002,118.32004,0.0,0.0,0.0,0.0
Martin John Docherty,1057.0,1122.2679000000005,1122.2679000000005,1064.0,1064.0,1064.0,1064.0,1064.0,1064.0,1064.0,1064.0
Rob Harris,46.0,53.9595,54.35568,54.82287,58.459630000000004,60.86605,0.0,0.0,0.0,0.0,0.0
Ewan Hoyle,89.0,112.87849999999997,115.03547999999999,116.01481,117.33318999999999,120.01397,126.38341999999999,129.4266,0.0,0.0,0.0
Craig Mackay,516.0,541.4703999999999,546.00446,592.3331200000002,592.3331200000001,596.0029400000002,605.47705,628.4401200000001,645.2153900000001,683.2578599999999,0.0
Gordon Matheson,1113.0,1113.0,1064.0,1064.0,1064.0,1064.0,1064.0,1064.0,1064.0,1064.0,1064.0
Alexander Mcdowell,20.0,30.82492,31.96944,32.38239999999999,36.01915999999999,0.0,0.0,0.0,0.0,0.0,0.0
John Moir Bingham Robertson,17.0,19.228659999999998,19.44876,19.44876,0.0,0.0,0.0,0.0,0.0,0.0,0.0
