Candidate,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9,Round 10,Round 11
Joe Cullinane,1054.0,1054.0,988.0,988.0,988.0,988.0,988.0,988.0,988.0,988.0,988.0
John Ferguson,1440.0,988.0,988.0,988.0,988.0,988.0,988.0,988.0,988.0,988.0,988.0
Scott Gallacher,363.0,369.59148,370.78107000000006,372.78107000000006,373.78107,385.78532,398.5383,407.16523,0.0,0.0,0.0
Stuart Gardiner,82.0,88.90535999999999,90.47060999999998,90.47060999999998,90.78448999999998,0.0,0.0,0.0,0.0,0.0,0.0
Helen Hainey,279.0,295.94952000000006,335.14338,337.14338,341.33546000000007,352.27627000000007,373.21708,0.0,0.0,0.0,0.0
Colin Hedley,254.0,268.43848,270.25417000000004,293.88193,299.88193000000007,319.8278200000001,0.0,0.0,0.0,0.0,0.0
Philip Hogg,45.0,47.51104,47.63626000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andy Jones,54.0,60.905359999999995,61.781899999999986,63.15838999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Donald Reid,525.0,533.7886399999999,548.68982,548.68982,557.69324,559.94368,590.70433,867.54524,909.23478,929.61567,1012.6845900000001
Robert Steel,695.0,720.4242799999998,722.6156299999998,735.6782399999997,754.3686099999996,771.6816600000001,946.3221700000001,966.9516900000001,1092.20638,988.0,988.0
Iain Walker,148.0,489.50144000000023,490.0023200000002,490.94396000000006,501.08276000000023,511.2799200000002,532.10484,547.94593,568.51533,581.45946,0.0
