Candidate,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9,Round 10,Round 11
Ruth Black,48.0,48.5913,50.5913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chris Creighton,71.0,71.31536,74.31536,82.31536,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stephen Curran,1750.0,1681.0,1681.0,1681.0,1681.0,1681.0,1681.0,1681.0,1681.0,1681.0,1681.0
Colin Deans,311.0,314.9420000000001,319.9420000000001,324.06026000000014,362.0602600000001,372.09968000000015,422.17852,0.0,0.0,0.0,0.0
Josephine U Docherty,1423.0,1426.66606,1431.6660600000002,1440.8237400000003,1446.86316,1460.86316,1515.86316,1595.37562,1699.45446,1681.0,1681.0
Emma Gillan,1005.0,1058.1381600000002,1062.3352600000003,1071.5323600000006,1076.7688800000005,1085.8477200000002,1147.0842400000001,1233.85814,1360.5677,1361.73628,1506.54513
Shoaib Gul,1004.0,1005.2220199999998,1006.2220199999998,1008.2220199999998,1009.2614399999999,1010.2614399999999,1042.3008599999998,1068.4585399999999,1097.45854,1110.88797,0.0
Diane Harvey,38.0,38.3942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robert Mcelroy,724.0,725.1037600000001,728.1037600000001,730.1037600000001,734.1037600000001,757.22202,771.26144,841.49796,0.0,0.0,0.0
Michael O'Donnell,105.0,105.51246,105.51246,105.51246,107.51246,0.0,0.0,0.0,0.0,0.0,0.0
Ben Thomson,243.0,243.67014,256.74898,269.7489800000001,282.74898,318.90666,0.0,0.0,0.0,0.0,0.0
