Candidate,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9,Round 10
Gopi Ageer,169.0,169.71400000000008,176.77350000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Henry Drummond Boswell,188.0,188.77350000000004,197.83300000000008,255.0710000000001,282.1900000000001,302.2495000000001,0.0,0.0,0.0,0.0
Donnie Campbell,235.0,235.65450000000007,247.83300000000006,257.8330000000001,280.01150000000007,0.0,0.0,0.0,0.0,0.0
Amanda Hampsey,452.0,452.2975,460.2975,479.2975,522.4165,538.4165,601.5355000000001,645.595,646.31522,667.6974
Willie Hume,615.0,644.9880000000019,648.5830000000016,657.8805000000012,666.9995000000008,705.2970000000003,724.654,777.0705,727.0,727.0
Andrew Kain,295.0,295.29750000000007,304.47600000000006,314.476,354.47600000000006,393.595,439.595,529.714,540.02799,698.17541
Colin Kennedy,256.0,257.0115000000001,269.1305000000001,276.1305000000001,309.3090000000001,378.3685000000001,405.36850000000004,0.0,0.0,0.0
Jim Lynch,773.0,727.0,727.0,727.0,727.0,727.0,727.0,727.0,727.0,727.0
Jamie Mcgrigor,179.0,180.48750000000007,214.78500000000003,226.84450000000007,0.0,0.0,0.0,0.0,0.0,0.0
Phyl Stuart Meyer,353.0,357.7600000000003,368.9385000000002,391.9980000000002,401.3550000000002,436.5335000000001,491.7715,519.95,539.71408,0.0
John Watson,118.0,120.023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
