Candidate,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9,Round 10
Mick Eyre,163.0,172.82560000000007,174.1151200000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Walter Hamilton,268.0,271.91600000000005,272.6682200000001,285.50647000000004,316.70260000000013,326.1123300000001,0.0,0.0,0.0,0.0
Wheatley Harris,458.0,477.6512,482.4869,535.9232899999997,544.29808,594.8594,628.82126,671.76057,0.0,0.0
David Jackson,420.0,433.8127999999999,436.3381099999999,450.2462399999998,458.56729999999993,515.32419,539.16112,0.0,0.0,0.0
Gordon Kirker,190.0,191.4952,192.24742000000003,196.44355000000007,0.0,0.0,0.0,0.0,0.0,0.0
Catherine Maguire,227.0,241.59600000000006,243.85266000000007,265.7607900000001,269.9743900000001,0.0,0.0,0.0,0.0,0.0
Tom Mckeown,1861.0,1861.0,1761.0,1761.0,1761.0,1761.0,1761.0,1761.0,1761.0,1761.0
John F Mclaughlin,1896.0,1761.0,1761.0,1761.0,1761.0,1761.0,1761.0,1761.0,1761.0,1761.0
Euan Mcleod,1369.0,1382.1719999999996,1428.7021799999984,1442.8614899999993,1454.2188099999996,1483.9683899999998,1502.57557,1582.99977,1720.3355,1825.5977500000001
George Ryan,1386.0,1394.0456,1410.0034099999996,1421.4131399999997,1434.5380699999996,1454.2151299999996,1472.5724499999997,1528.8534899999997,1593.3145100000002,1688.23691
Alex White,565.0,572.1199999999999,573.4632499999998,575.89045,644.14031,659.0847000000001,734.6543,848.48615,887.81828,0.0
