Candidate,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9,Round 10,Round 11
Lynda Baird,50.0,52.84032000000001,53.228040000000014,53.228040000000014,53.26308000000001,54.29812000000001,56.33316,0.0,0.0,0.0,0.0
Alan Clouston,213.0,232.88224000000005,234.73832,236.75076,243.01595999999998,248.80856000000003,260.24116000000004,272.2762,281.99872000000005,285.91109,368.42562
David Dawson,162.0,186.14272000000003,188.95400000000006,188.95400000000006,192.48424000000006,206.44212000000005,213.43504000000004,219.87260000000003,232.38771999999997,236.70909,0.0
Walter Haywood,9.0,9.71008,9.87512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Laurence Leonard,42.0,49.45584,49.64348000000001,52.65592,52.655919999999995,54.4734,58.9286,64.28363999999999,0.0,0.0,0.0
Bryan Leslie,16.0,18.840320000000002,19.545680000000004,19.580720000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jack Moodie,476.0,307.0,307.0,307.0,307.0,307.0,307.0,307.0,307.0,307.0,307.0
John Richards,283.0,318.14896,307.0,307.0,307.0,307.0,307.0,307.0,307.0,307.0,307.0
Sandra Shearer,34.0,43.58608,44.11624,44.11624,45.15127999999999,50.86136000000001,0.0,0.0,0.0,0.0,0.0
Raymond Smith,30.0,37.81087999999999,38.39868,40.43372,43.22632000000001,0.0,0.0,0.0,0.0,0.0,0.0
David Tullock,215.0,263.9955200000001,266.31624,267.67128,270.06136000000004,273.19656,288.10176,301.13680000000005,321.3446,307.0,307.0
