Candidate,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9,Round 10,Round 11
Esme Clark,510.0,516.2929899999999,529.2775899999999,529.5465099999999,531.57347,538.24482,556.89405,561.91191,583.23685,636.44378,0.0
Allan Gow,1727.0,1155.0,1155.0,1155.0,1155.0,1155.0,1155.0,1155.0,1155.0,1155.0,1155.0
Gary Gray,1474.0,1474.0,1155.0,1155.0,1155.0,1155.0,1155.0,1155.0,1155.0,1155.0,1155.0
Stuart James Maskell,64.0,67.64331,73.26997000000001,73.7271,73.94351,74.94351000000002,0.0,0.0,0.0,0.0,0.0
Billy Mcallister,311.0,332.52864999999997,343.78196999999994,346.3006499999999,353.8842599999999,359.1006699999999,371.11682999999994,389.72875999999997,449.53609,0.0,0.0
Angela Mccormick,62.0,69.28662,77.07738,78.0004,84.89300000000001,87.32582,94.98397999999999,0.0,0.0,0.0,0.0
Jacqueline Mclaren,720.0,1187.006100000004,1187.006100000004,1155.0,1155.0,1155.0,1155.0,1155.0,1155.0,1155.0,1155.0
Amjad Mirza,54.0,56.31847,60.213849999999994,60.98523,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robert Mooney,518.0,526.28025,747.2348599999998,749.6814199999997,755.7991899999997,769.7185799999997,778.57359,792.0862599999999,889.59359,1015.33097,1195.2525
Calum Shepherd,56.0,57.65604999999999,61.98425000000001,62.55781000000001,63.55781000000001,0.0,0.0,0.0,0.0,0.0,0.0
Andrew Smith,275.0,297.5222799999999,304.01458,315.8956200000003,320.1524500000002,339.31414000000007,343.69910000000004,367.58665,0.0,0.0,0.0
