Candidate,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9,Round 10
David Blaney,118.0,135.18613,139.18613,142.18613,147.65061999999998,157.57959999999997,183.76001,185.98020999999997,201.29161999999997,247.90958
Peter Carlin,90.0,103.00571999999998,105.00571999999998,106.00572,108.39918999999999,114.39918999999999,0.0,0.0,0.0,0.0
Calum Macaulay,72.0,76.18041,76.18041,77.18041,81.10939,0.0,0.0,0.0,0.0,0.0
Angus Macdonald,27.0,27.92898,27.92898,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ronnie Mackinnon,210.0,226.25715,228.72163999999998,234.72163999999998,242.83103,263.76000999999997,292.61797,279.0,279.0,279.0
Allan F Macleod,28.0,51.688990000000004,52.688990000000004,53.15348000000001,0.0,0.0,0.0,0.0,0.0,0.0
Gerry Macleod,55.0,135.82126,135.82126,135.82125999999997,143.53717999999998,146.46616,154.25310000000002,155.05579,0.0,0.0
Calum Macmillan,123.0,144.36654,147.83103,150.29551999999998,152.22449999999998,156.22449999999998,165.2245,166.49911,192.96687000000003,0.0
Donald Manford,521.0,279.0,279.0,279.0,279.0,279.0,279.0,279.0,279.0,279.0
Donnie Steele,131.0,142.61224999999996,144.61225,150.61225,155.93469999999996,179.39919,200.79265999999998,204.13619999999997,222.24313999999998,263.55781
Eric Wallis,17.0,17.92898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
