Candidate,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9,Round 10
Andrea Gee,1580.0,1585.0,1598.0,1604.0,1624.0,1628.0,1634.4319400000002,1766.58152,1783.4959399999998,0.0
Sarah Louise Hemy,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annette Ireland,1508.0,1509.0,1521.0,1634.0,1671.0,2400.0,2041.0,2041.0,2041.0,2041.0
Alan Lafferty,986.0,989.0,1018.0,1048.0,1536.0,1573.0,1651.0807600000003,1791.1664799999999,1828.5263400000001,1948.8681000000001
David Macdonald,1352.0,1354.0,1391.0,1439.0,1505.0,1571.0,1659.1026200000001,2189.12954,2041.0,2041.0
Alex Mackie,195.0,195.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stewart Miller,1715.0,1719.0,1734.0,1738.0,1762.0,1772.0,1777.08572,1914.83362,1936.22372,3327.96126
James Mills,809.0,810.0,813.0,883.0,908.0,0.0,0.0,0.0,0.0,0.0
Mary Montague,692.0,692.0,717.0,761.0,0.0,0.0,0.0,0.0,0.0,0.0
Ralph Robertson,995.0,995.0,1012.0,1044.0,1110.0,1126.0,1174.6135,0.0,0.0,0.0
Laura Stevens,351.0,352.0,378.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
