Candidate,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9,Round 10,Round 11
Mark Bailey,128.0,129.33715,135.2785,138.49351000000001,140.70852000000002,150.13854000000003,0.0,0.0,0.0,0.0,0.0
Rona Grieve,75.0,75.80229,78.99386999999999,82.25424,88.80855,0.0,0.0,0.0,0.0,0.0,0.0
Jim Halfpenny,46.0,46.802290000000006,50.89927000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kenny Maclaren,1305.0,956.0,956.0,956.0,956.0,956.0,956.0,956.0,956.0,956.0,956.0
Mags Maclaren,851.0,1151.3238899999983,956.0,956.0,956.0,956.0,956.0,956.0,956.0,956.0,956.0
Janis Mcdonald,852.0,860.2903299999999,885.9608499999997,898.4815899999996,901.5723099999997,918.0023299999998,956.15631,956.0,956.0,956.0,956.0
John Mcintyre,119.0,121.94172999999998,131.11003,141.63783,156.68319000000002,176.20392999999999,191.81538999999998,191.82090999999997,0.0,0.0,0.0
Fraser Paul,443.0,443.26743,444.6935700000001,444.6935700000001,444.73893,453.73893,477.57952,477.58809999999994,503.0715399999999,515.67157,0.0
Cara Rae,228.0,243.24351000000001,314.99330999999916,322.8533499999994,338.29135999999966,343.91693999999984,360.82233999999994,360.82784000000004,391.97987,0.0,0.0
Ben Smith,679.0,684.6160299999999,697.9566400000001,697.9566400000001,703.26237,708.8691,723.87934,723.99446,764.2074299999999,892.17038,1089.34233
Samuel Oludare Yerokun,53.0,54.87201,63.84708,66.10745,0.0,0.0,0.0,0.0,0.0,0.0,0.0
